Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C315248,CL05A106MP5NUNC,Samsung Electro-Mechanics,0402,,10uF ±20% 10V Ceramic Capacitor X5R 0402,yes,20,20,20,0.0091,0.18,https://www.lcsc.com/product-detail/C315248.html
2,C60474,CC0402KRX7R7BB104,YAGEO,0402,,100nF ±10% 16V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/C60474.html
3,C2988369,GT-USB-7010ASV,G-Switch,SMD,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",yes,5,5,5,0.0803,0.40,https://www.lcsc.com/product-detail/C2988369.html
4,C5137486,FCC0402N330J500AT,FOJAN,0402,,33pF ±5% 50V Ceramic Capacitor C0G 0402,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C5137486.html
5,C107372,CL05A105KQ5NNNC,Samsung Electro-Mechanics,0402,,1uF ±10% 6.3V Ceramic Capacitor X5R 0402,yes,100,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/C107372.html
6,C42431804,PH2.54-1X20P-H25,JXTCONN,"Through Hole,P=2.54mm",,Pin Header 20 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,yes,5,5,5,0.0920,0.46,https://www.lcsc.com/product-detail/C42431804.html
7,C32713269,HX PZ2.54-1x3P ZZ,hanxia,"Through Hole,P=2.54mm",,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,yes,5,5,5,0.0200,0.10,https://www.lcsc.com/product-detail/C32713269.html
8,C2906948,FRC0402J512 TS,FOJAN,0402,,5.1kΩ ±5% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/C2906948.html
9,C2906864,FRC0402F1001TS,FOJAN,0402,,1kΩ ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C2906864.html
10,C138021,RC0402FR-0727RL,YAGEO,0402,,27Ω ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C138021.html
11,C2906861,FRC0402F1002TS,FOJAN,0402,,10kΩ ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C2906861.html
12,C36498960,HX 3x6x2.5A-2.5N,hanxia,"SMD,6x3mm",,Tactile Switch SPST 250gf 2.5mm SMD (SMT) Tab 6mm x 3.6mm Surface Mount,yes,5,5,5,0.0190,0.10,https://www.lcsc.com/product-detail/C36498960.html
13,C41381676,HMCP1700T-3302E/TT,HXY MOSFET,SOT-23,,"3.3V 6V Positive Fixed SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,5,5,5,0.1062,0.53,https://www.lcsc.com/product-detail/C41381676.html
14,C113767,W25Q128JVSIQ,Winbond,SOIC-8-208mil,,2.7V~3.6V 128Mbit 133MHz SPI SOIC-8-208mil Memory (ICs) RoHS,yes,1,1,1,2.4116,2.41,https://www.lcsc.com/product-detail/C113767.html
15,C5280576,XL2EL89CSI-111YLC-12M,YXC Crystal Oscillators,SMD3225-4P,,Crystal 12MHz ±10ppm 20pF SMD3225-4P,yes,10,10,10,0.0620,0.62,https://www.lcsc.com/product-detail/C5280576.html
16,C2040,RP2040,Raspberry Pi,LQFN-56(7x7),,133MHz 30 LQFN-56(7x7) Microcontrollers RoHS,yes,1,1,1,0.9482,0.95,https://www.lcsc.com/product-detail/C2040.html
