Designator,Mid X,Mid Y,Rotation,Layer
C1,93.25,-31.77,270.0,bottom
C10,90.072783,-51.458913,0.0,bottom
C11,101.0,-54.0,180.0,bottom
C12,95.563102,-56.25,270.0,bottom
C13,96.25,-42.23,90.0,bottom
C14,93.5,-45.5,90.0,bottom
C15,98.712404,-63.244904,0.0,bottom
C16,98.52,-57.5,0.0,bottom
C17,91.5,-57.0,270.0,bottom
C2,95.301894,-43.242658,90.0,bottom
C3,93.194117,-43.224706,90.0,bottom
C4,91.75,-31.75,270.0,bottom
C5,94.25,-43.23,90.0,bottom
C6,96.608773,-57.10368,270.0,bottom
C7,100.5,-46.48,90.0,bottom
C8,92.25,-45.77,90.0,bottom
C9,101.387965,-55.787607,180.0,bottom
J1,96.25,-21.0,180.0,top
J2,87.25,-44.607164,0.0,bottom
J3,105.0,-44.586856,0.0,bottom
J4,96.126665,-68.75,90.0,top
R1,95.25,-33.5,90.0,bottom
R2,96.31,-33.505498,90.0,bottom
R3,96.0,-60.3525,270.0,bottom
R4,99.0,-39.0975,90.0,bottom
R5,100.25,-38.0,270.0,bottom
R6,96.01,-29.0975,270.0,bottom
R7,98.0,-29.0975,270.0,bottom
SW1,96.144636,-29.216334,180.0,top
U1,93.25,-28.25,270.0,bottom
U2,99.0,-42.75,90.0,bottom
U3,95.95,-50.8,90.0,bottom
Y1,98.6,-60.35,90.0,bottom
